Britain,1782,3500,Peacetime
Britain,1703,1500,Peacetime
Britain,1707,2000,Peacetime
Britain,1744,1150,Peacetime
Britain,1760,829,Peacetime
Britain,1782,800,Peacetime
Netherlands,1738,664,Peacetime
Britain,1782,600,Peacetime
Britain,1749,520,Peacetime
Britain,1794,500,Peacetime
Britain,1796,464,Peacetime
Sweden,1781,419,Peacetime
Britain,1782,400,Peacetime
Britain,1703,387,Peacetime
Britain,1796,300,Peacetime
Netherlands,1743,276,Peacetime
Britain,1799,269,Peacetime
Netherlands,1735,256,Peacetime
Britain,1755,247,Peacetime
Netherlands,1790,238,Peacetime
Britain,1797,232,Peacetime
Britain,1702,220,Peacetime
Britain,1703,206,Peacetime
Netherlands,1726,200,Peacetime
Britain,1786,166,Peacetime
,1717,144,Peacetime
Britain,1780,172,Peacetime
United States,1777,129,Peacetime
Britain,1799,125,Peacetime
Britain,1797,120,Peacetime
Britain,1761,114,Peacetime
Britain,1793,102,Peacetime
United States,1781,86,Peacetime
France,1795,1150,Peacetime
Britain,1711,850,Wartime
Spain,1708,689,Wartime
Denmark,1710,597,Wartime
France,1796,413,Wartime
France,1798,1060,Wartime
Britain,1758,366,Wartime
Britain,1799,358,Wartime
France,1794,356,Wartime
United States,1778,311,Wartime
France,1795,300,Wartime
Spain,1782,719,Wartime
France,1797,390,Wartime
United States,1865,1547,Peacetime
China,1822,1600,Peacetime
Britain,1807,870,Peacetime
Russia,1857,826,Peacetime
India,1888,746,Peacetime
Britain,1811,731,Peacetime
Britain,1800,673,Peacetime
United States,1865,670,Peacetime
Peru,1854,650,Peacetime
Spain,1819,644,Peacetime
Britain,1878,600,Peacetime
Britain,1811,583,Peacetime
Britain,1810,570,Peacetime
France,1898,565,Peacetime
Britain,1891,564,Peacetime
Britain,1855,543,Peacetime
Britain,1873,535,Peacetime
Turkey,1890,533,Peacetime
Britain,1811,518,Peacetime
Britain,1804,491,Peacetime
Britain,1854,480,Peacetime
Britain,1870,480,Peacetime
Austria,1858,473,Peacetime
Britain,1874,469,Peacetime
Britain,1859,459,Peacetime
